Discharge Time (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL
1325.57,4.135,2.868,501.6,1754.2,2791.21,116.6
1181.14,4.109,2.805,414.25,1593.62,2582.58,75.4
1065.29,4.018,2.725,339.42,1317.67,2411.58,21.6
1180.08,4.096,2.789,438.73,1634.28,2663.7,84.7
1039.12,4.005,2.63,277.19,1259.57,2306.23,6.8
1460.84,4.19,2.938,593.56,1891.56,2989.23,154.7
1168.0,4.039,2.782,347.73,1473.44,2554.78,44.7
1313.93,4.137,2.887,495.14,1717.98,2823.69,113.0
1160.05,4.035,2.755,357.56,1460.88,2525.18,53.7
1226.23,4.084,2.819,460.49,1630.02,2679.45,88.9
1251.88,4.092,2.791,458.46,1640.49,2676.76,93.4
1055.61,4.039,2.766,346.06,1409.98,2476.91,32.2
1478.06,4.197,3.006,601.66,1981.58,2972.35,164.9
1369.61,4.15,2.917,567.63,1797.96,2854.55,132.0
1473.67,4.201,2.959,621.33,1901.72,2973.2,159.8
1426.0,4.186,2.961,610.25,1912.55,2884.11,152.2
1288.24,4.11,2.876,503.5,1728.65,2723.81,102.0
1448.11,4.163,2.956,620.22,1937.47,2983.15,156.8
1044.64,3.993,2.728,340.89,1327.51,2536.31,16.0
1100.56,4.003,2.697,313.29,1462.55,2384.08,34.1
1036.12,4.003,2.669,292.05,1331.7,2329.19,8.6
1175.05,4.042,2.761,356.01,1448.31,2517.28,56.0
1182.17,4.062,2.806,409.25,1536.39,2534.06,66.7
1122.95,4.045,2.739,366.49,1469.22,2583.45,46.9
1401.26,4.185,2.948,557.76,1836.1,2881.01,141.1
1152.54,4.084,2.803,426.22,1513.42,2555.73,61.3
1126.99,4.049,2.727,363.06,1469.82,2536.67,48.5
1309.6,4.13,2.775,426.71,1648.6,2664.29,92.7
1052.12,3.98,2.707,334.9,1336.88,2447.49,24.8
1384.62,4.196,2.955,573.32,1892.03,2841.24,136.6
1037.46,4.021,2.678,297.99,1336.63,2429.55,13.6
1486.44,4.199,3.083,655.82,1964.01,2996.59,167.8
1367.43,4.135,2.895,536.09,1851.63,2899.37,131.5
1106.72,4.024,2.783,336.07,1410.08,2481.2,34.6
976.29,4.005,2.756,291.62,1312.65,2234.93,1.9
1424.59,4.174,2.954,582.36,1854.92,2824.81,138.8
1357.37,4.152,2.827,520.18,1732.0,2865.04,120.5
1321.98,4.129,2.813,525.3,1760.84,2801.84,124.2
1318.47,4.134,2.904,549.32,1858.85,2772.43,131.3
1022.51,4.011,2.73,274.34,1359.27,2353.99,13.5
1165.13,4.081,2.784,390.01,1483.53,2549.31,61.6
1128.87,4.015,2.69,287.53,1398.1,2452.45,20.6
1437.89,4.201,2.903,576.29,1925.1,2873.02,146.9
1253.71,4.122,2.874,469.14,1695.29,2738.08,106.3
1141.32,4.06,2.818,392.84,1501.7,2589.13,56.9
1041.29,4.018,2.68,291.06,1255.22,2348.26,11.7
1155.85,4.081,2.782,396.87,1469.08,2498.0,53.6
1123.09,4.032,2.839,355.3,1493.69,2556.25,56.0
1349.99,4.121,2.88,529.13,1802.58,2846.41,124.3
1288.16,4.118,2.846,497.29,1721.36,2749.63,108.7
1409.83,4.24,2.978,606.77,1916.95,2947.85,150.9
1231.13,4.085,2.791,466.27,1575.31,2618.92,80.8
1085.27,4.014,2.753,288.84,1368.53,2325.18,21.2
1365.89,4.153,2.867,514.77,1831.55,2838.71,121.5
1384.04,4.17,2.897,575.54,1829.9,2795.85,129.6
1255.53,4.112,2.783,452.95,1669.86,2676.19,95.9
1392.9,4.175,2.895,556.44,1802.17,2852.26,131.3
1242.75,4.07,2.776,427.68,1609.2,2693.42,84.5
1252.41,4.085,2.825,431.48,1601.45,2670.96,89.3
1188.1,4.104,2.738,405.83,1529.01,2589.81,73.3
1014.64,3.997,2.722,320.91,1293.91,2400.84,5.3
1062.86,3.989,2.684,297.39,1367.58,2383.83,19.2
1090.49,3.971,2.747,288.45,1274.31,2335.19,6.3
1313.05,4.108,2.892,491.76,1759.86,2688.23,108.6
1135.76,4.057,2.774,393.16,1475.64,2538.4,54.1
1221.36,4.107,2.764,464.11,1627.87,2722.44,86.9
1436.28,4.174,2.956,609.98,1956.79,2878.29,154.4
1176.33,4.051,2.715,310.41,1437.87,2461.83,43.1
1185.34,4.068,2.76,398.72,1578.99,2596.77,70.4
1389.6,4.173,2.943,525.46,1829.96,2853.92,128.7
1103.47,4.09,2.733,369.13,1412.92,2488.58,39.7
1054.68,3.999,2.684,292.07,1310.83,2377.08,14.0
1159.73,4.061,2.73,396.58,1511.98,2490.81,50.0
1069.29,4.033,2.706,336.95,1426.56,2486.13,28.2
1444.73,4.188,3.006,635.21,1964.24,2867.26,158.1
1436.22,4.173,2.87,599.22,1826.44,2913.75,137.6
1328.61,4.133,2.853,480.24,1747.82,2830.12,108.0
1448.61,4.164,2.965,568.24,1892.38,2941.29,148.3
1412.06,4.185,2.865,566.31,1811.04,2841.61,136.8
1105.97,4.034,2.685,352.89,1385.11,2459.86,32.5
1490.79,4.17,2.963,591.79,1910.18,2879.71,151.8
1258.28,4.153,2.863,459.1,1685.47,2647.07,92.1
1408.81,4.157,2.955,583.36,1827.88,2889.39,137.5
1406.01,4.183,2.949,620.08,1890.63,2951.86,152.4
1132.07,4.061,2.801,371.9,1480.53,2550.9,54.7
1031.9,4.012,2.701,319.59,1348.74,2349.67,19.6
1144.34,4.048,2.727,337.44,1452.74,2569.93,39.5
1139.38,4.064,2.79,396.16,1589.18,2632.37,73.2
1389.97,4.174,2.949,589.95,1792.49,2870.33,139.2
1348.18,4.136,2.928,555.89,1881.84,2907.61,146.5
998.84,3.967,2.677,288.98,1287.56,2304.77,2.2
1230.95,4.134,2.774,442.42,1606.03,2631.52,87.3
1233.25,4.053,2.795,422.74,1541.75,2701.87,71.5
1119.85,3.998,2.764,339.36,1447.28,2438.09,38.5
1045.21,3.992,2.742,335.55,1379.49,2377.49,21.3
1188.28,4.097,2.723,383.83,1503.44,2536.13,58.1
1468.52,4.152,2.99,645.86,1967.74,2932.26,160.4
1156.0,4.04,2.798,385.64,1512.55,2540.14,55.6
1217.07,4.07,2.821,435.19,1605.06,2654.34,88.7
1314.82,4.133,2.876,530.14,1740.92,2791.39,119.8
1152.95,4.058,2.771,402.22,1515.26,2553.93,62.5
1485.32,4.184,3.047,635.51,1957.26,2971.28,165.2
1480.89,4.229,3.029,621.66,1952.91,2912.6,163.7
1161.61,4.02,2.726,371.96,1446.13,2479.37,43.6
1246.32,4.093,2.834,428.56,1619.64,2651.9,85.0
1077.26,4.061,2.719,362.07,1406.24,2513.78,51.8
1144.3,4.031,2.79,377.63,1474.76,2503.54,49.1
995.46,4.009,2.668,291.3,1296.03,2385.74,7.2
1267.85,4.11,2.858,455.69,1710.97,2712.46,104.0
1219.01,4.104,2.804,430.59,1607.08,2701.01,86.0
1021.08,4.0,2.684,304.67,1294.2,2439.09,9.7
1100.58,4.008,2.79,363.66,1455.87,2483.82,48.1
1454.04,4.207,2.997,607.16,1961.02,2951.93,154.5
1082.33,4.083,2.738,359.08,1428.05,2493.37,41.5
1085.54,4.018,2.771,332.74,1409.22,2422.67,25.5
1288.85,4.075,2.834,441.94,1646.08,2586.9,83.7
1458.69,4.227,3.026,593.51,1978.68,3025.63,167.6
1111.59,4.08,2.673,355.12,1426.94,2470.33,41.9
1260.61,4.128,2.867,501.9,1736.15,2821.97,114.6
1362.59,4.146,2.94,546.39,1813.02,2835.86,129.7
1132.82,4.039,2.758,370.56,1422.46,2527.8,41.2
1370.65,4.11,2.932,516.12,1814.33,2834.2,124.1
1177.43,4.062,2.754,398.42,1510.61,2600.15,63.2
1325.68,4.158,2.846,501.13,1746.85,2773.42,107.9
1367.71,4.12,2.847,489.81,1693.88,2743.68,108.1
1298.24,4.082,2.826,437.59,1600.26,2668.42,91.5
1040.61,4.02,2.729,291.68,1285.23,2402.3,16.3
1373.02,4.152,2.981,576.43,1856.91,2914.8,142.2
1143.8,4.057,2.815,372.24,1472.73,2537.77,55.2
1070.78,4.005,2.778,309.64,1378.59,2479.42,32.5
1044.58,3.979,2.716,283.58,1335.66,2321.98,7.9
1253.13,4.129,2.826,458.49,1668.55,2730.45,100.9
1324.65,4.135,2.872,523.03,1695.5,2824.95,115.5
1044.44,3.979,2.71,266.52,1307.13,2345.69,3.8
1241.36,4.101,2.816,469.78,1673.2,2662.42,87.5
1088.2,4.026,2.709,383.42,1445.05,2511.3,39.3
1339.33,4.11,2.84,487.9,1710.35,2820.2,110.0
1042.25,4.051,2.751,325.62,1401.04,2464.04,30.5
1325.15,4.151,2.863,531.3,1740.32,2725.05,117.8
1183.24,4.072,2.777,420.12,1514.23,2551.6,66.4
1465.05,4.19,2.994,613.94,1944.98,2997.29,159.3
1078.01,4.02,2.69,317.08,1369.2,2396.69,24.2
1178.47,4.072,2.76,381.85,1505.09,2555.17,58.6
1062.47,3.999,2.697,303.76,1404.85,2379.2,20.2
1448.8,4.202,2.966,629.63,1942.9,2982.97,157.3
1421.85,4.181,2.924,597.43,1934.02,2936.88,149.3
1110.45,4.04,2.741,350.14,1520.2,2470.62,44.6
1337.18,4.119,2.878,505.8,1727.22,2801.53,112.5
1383.44,4.179,2.957,563.57,1863.84,2911.07,139.1
1286.14,4.104,2.783,502.03,1688.92,2720.1,94.8
1252.91,4.088,2.865,451.22,1649.5,2688.48,90.5
1105.58,4.034,2.749,366.98,1433.82,2633.42,41.9
1070.3,4.026,2.673,317.08,1411.33,2329.77,16.7
1424.71,4.146,2.956,601.54,1956.42,2917.96,152.6
1460.6,4.172,2.913,611.82,1859.88,2931.86,153.2
1309.16,4.145,2.801,497.44,1762.26,2799.82,108.0
1147.37,4.059,2.816,424.94,1557.76,2539.99,58.3
1180.15,4.07,2.746,389.61,1552.76,2603.11,60.0
1365.13,4.165,2.9,492.19,1813.09,2789.67,123.7
1471.78,4.196,2.964,636.59,1966.92,2948.21,152.6
1461.51,4.168,2.962,591.72,1939.17,2957.78,150.9
1392.03,4.151,2.917,554.82,1848.47,2825.08,132.8
1280.18,4.143,2.79,489.62,1732.16,2786.69,109.5
1112.33,4.028,2.744,298.97,1302.88,2438.53,15.2
1048.67,4.023,2.719,314.17,1346.05,2428.72,28.3
1467.36,4.178,2.953,574.35,1944.69,2891.85,152.9
1301.21,4.123,2.855,473.19,1724.55,2719.47,103.5
991.17,4.02,2.667,294.45,1284.03,2328.14,2.6
1055.22,4.034,2.715,288.31,1320.93,2431.22,18.1
1317.31,4.144,2.856,513.8,1710.13,2734.78,113.1
1051.5,3.971,2.709,320.39,1271.73,2354.69,1.9
1065.58,4.019,2.715,335.0,1407.73,2454.64,28.2
1255.24,4.101,2.792,441.21,1726.86,2711.8,93.7
1275.43,4.164,2.882,523.57,1764.4,2838.31,117.9
1356.77,4.123,2.848,516.03,1744.11,2773.42,111.2
1084.12,4.063,2.682,369.88,1463.8,2452.18,38.9
1352.48,4.128,2.884,528.51,1778.35,2801.34,121.4
1114.05,4.031,2.723,363.49,1450.02,2484.96,41.1
1153.61,4.069,2.771,395.84,1524.85,2522.08,56.0
1382.42,4.178,2.866,548.73,1839.03,2768.76,127.2
1354.0,4.123,2.819,505.53,1735.38,2765.45,110.8
1423.09,4.117,2.975,573.34,1869.31,2906.7,144.5
1332.66,4.097,2.884,518.21,1745.79,2764.1,112.1
1279.67,4.116,2.829,461.38,1623.06,2707.1,97.0
1080.52,3.981,2.72,349.76,1350.22,2350.85,16.8
1163.89,4.051,2.796,387.75,1555.94,2473.74,63.1
1155.85,4.047,2.746,375.4,1509.21,2490.66,45.8
1147.32,3.993,2.705,337.4,1471.34,2433.23,42.2
1511.91,4.187,3.041,630.52,1902.02,2996.07,165.4
1170.74,4.05,2.808,397.22,1589.64,2543.86,67.4
1435.86,4.147,2.982,581.02,1960.51,2924.02,151.8
1308.84,4.107,2.851,484.9,1692.47,2735.8,107.7
1353.39,4.136,2.93,565.18,1830.38,2829.67,135.3
1279.17,4.106,2.802,441.29,1669.45,2700.59,85.9
1275.4,4.136,2.863,490.56,1681.92,2665.34,98.5
1241.5,4.087,2.846,427.34,1601.35,2559.48,84.2
1083.81,4.02,2.691,351.71,1387.59,2405.32,34.0
1316.47,4.134,2.916,520.98,1866.98,2870.84,123.1
1120.81,4.028,2.817,385.33,1492.69,2500.48,48.5
1032.1,3.971,2.708,302.69,1286.92,2384.04,5.1
1326.95,4.093,2.884,514.32,1773.54,2756.72,110.1
1094.45,4.002,2.706,333.25,1395.06,2490.15,30.9
1475.39,4.22,2.984,642.93,1990.13,2926.13,159.9
1465.77,4.177,3.005,604.14,1981.64,2979.67,162.2
1464.99,4.123,2.967,618.29,1923.88,2973.29,155.6
1213.66,4.057,2.733,400.25,1546.61,2520.54,63.6
1040.66,3.963,2.685,300.98,1305.6,2293.6,3.6
1480.24,4.186,3.015,616.43,1968.44,2940.66,157.9
1211.05,4.08,2.749,403.53,1621.69,2629.33,73.4
1443.71,4.194,3.03,618.41,2040.43,2945.29,164.4
1453.48,4.192,3.026,633.24,1984.05,3020.52,163.9
1430.22,4.162,2.933,580.65,1829.38,2937.12,145.2
1141.78,4.024,2.768,385.71,1504.88,2517.89,50.8
1194.51,4.07,2.788,417.61,1534.4,2599.1,66.1
1459.75,4.189,2.93,584.46,1834.46,2926.92,144.8
1170.35,4.094,2.791,380.65,1514.98,2569.54,54.6
1118.6,4.022,2.741,349.31,1405.76,2457.02,29.6
1268.13,4.105,2.872,461.41,1641.41,2673.84,95.1
1444.15,4.197,2.994,618.0,1914.88,2890.17,159.2
1334.52,4.166,2.863,499.35,1810.09,2798.1,118.6
1252.19,4.101,2.823,483.26,1690.44,2756.03,97.3
1095.5,4.025,2.743,310.4,1320.02,2442.1,17.4
1314.49,4.103,2.839,504.31,1728.08,2749.37,104.9
1507.41,4.205,3.056,627.34,1979.65,2974.91,168.3
1105.48,4.04,2.776,317.08,1388.98,2454.29,24.7
1196.41,4.074,2.773,464.96,1647.05,2627.17,88.6
1446.77,4.164,2.966,600.01,1828.31,2891.03,149.3
1326.42,4.165,2.888,519.6,1804.92,2764.98,126.2
1336.29,4.149,2.865,533.42,1763.95,2832.32,118.8
1331.5,4.159,2.846,502.21,1750.81,2730.68,119.7
1188.21,4.083,2.75,406.97,1486.22,2580.36,61.8
1147.37,4.046,2.741,357.88,1471.45,2612.86,50.6
1429.04,4.204,2.935,584.08,1842.83,2885.17,137.8
1380.76,4.163,2.946,567.92,1873.53,2830.86,137.9
1444.19,4.111,2.896,595.8,1893.01,2891.91,147.5
1455.74,4.176,2.942,609.66,1935.45,2879.94,155.3
1202.64,4.089,2.828,449.51,1642.39,2630.58,87.4
1215.79,4.112,2.827,445.84,1611.55,2631.14,85.8
1385.77,4.149,2.871,571.83,1815.14,2828.21,135.9
1340.2,4.149,2.882,499.94,1800.4,2765.86,110.8
1350.62,4.149,2.874,543.51,1770.31,2684.55,119.6
1359.0,4.137,2.936,549.15,1836.84,2810.12,135.5
1435.44,4.174,2.938,613.55,1957.34,2947.32,151.4
1212.25,4.046,2.722,395.76,1565.63,2633.56,58.1
1181.88,4.073,2.764,418.53,1578.86,2592.07,64.5
1047.03,3.995,2.699,312.63,1329.9,2353.23,16.9
1288.68,4.113,2.822,478.13,1691.68,2745.68,98.7
1050.41,3.993,2.683,298.96,1320.5,2392.07,7.1
1210.07,4.085,2.849,413.35,1666.71,2605.38,79.7
1271.36,4.146,2.77,465.69,1667.88,2653.16,92.7
1130.27,4.044,2.726,419.32,1487.01,2579.61,49.4
1300.61,4.076,2.823,502.11,1660.06,2677.01,100.9
1033.36,4.018,2.694,280.97,1261.71,2414.84,6.2
1043.95,4.019,2.716,267.58,1344.53,2371.74,7.3
1383.51,4.123,2.952,572.31,1873.84,2929.54,140.0
1151.46,4.052,2.802,411.04,1538.05,2605.04,61.9
1092.71,4.026,2.729,319.98,1396.05,2450.57,22.5
1246.84,4.111,2.763,480.55,1666.03,2627.94,89.3
1381.65,4.152,2.852,537.7,1845.31,2871.15,131.1
1099.53,4.037,2.769,351.04,1443.3,2518.6,37.5
1321.16,4.103,2.879,488.68,1718.17,2732.37,106.3
1036.42,3.961,2.724,319.28,1342.11,2301.51,15.4
1034.36,4.043,2.673,310.64,1340.88,2306.29,9.7
1272.92,4.083,2.808,473.41,1618.92,2616.84,90.8
1287.14,4.108,2.808,457.17,1622.3,2670.88,92.4
1292.94,4.121,2.821,514.84,1727.19,2695.87,108.7
1400.52,4.161,2.892,536.52,1795.14,2787.11,123.7
1494.27,4.197,3.101,659.36,2002.94,3064.35,165.9
1219.85,4.102,2.798,472.51,1629.49,2703.45,88.3
1164.17,4.006,2.799,382.55,1475.14,2564.2,55.6
1378.29,4.141,2.887,549.83,1860.73,2904.76,135.4
1142.32,4.063,2.701,368.23,1502.56,2453.17,46.8
1207.73,4.096,2.82,436.96,1591.49,2579.8,75.2
1050.62,3.989,2.697,283.74,1287.61,2380.6,14.3
1004.24,3.965,2.73,283.8,1304.23,2314.63,5.3
1503.81,4.195,3.064,643.22,1913.02,2959.42,163.7
1380.76,4.108,2.924,538.42,1872.41,2912.16,142.3
1308.22,4.114,2.913,503.65,1707.88,2829.44,118.6
1203.84,4.112,2.756,402.36,1546.24,2618.75,70.1
1128.83,4.056,2.698,333.25,1410.5,2485.45,30.3
1072.73,4.034,2.753,324.55,1375.15,2321.77,27.4
1139.85,4.05,2.696,354.01,1482.38,2571.46,43.3
1288.86,4.067,2.823,442.27,1666.63,2724.69,93.8
1365.93,4.126,2.917,553.22,1748.36,2790.13,121.8
1309.82,4.123,2.899,495.8,1768.6,2708.27,112.6
1108.26,4.035,2.737,339.58,1489.16,2503.65,48.3
1419.53,4.184,3.043,646.49,2003.15,2937.06,162.4
1351.11,4.171,2.855,524.54,1820.81,2868.72,125.7
1294.01,4.096,2.804,445.98,1677.89,2722.65,94.7
1264.97,4.112,2.85,496.16,1676.0,2708.58,104.4
1217.16,4.094,2.797,407.5,1591.11,2548.45,71.9
1097.46,4.015,2.71,360.28,1441.79,2479.23,42.9
1172.7,4.049,2.825,383.85,1545.84,2601.8,61.2
1385.83,4.135,2.84,537.43,1881.41,2855.73,129.1
1006.12,3.995,2.692,273.28,1324.94,2277.95,3.4
1068.71,4.009,2.718,299.09,1365.0,2380.41,20.6
1025.05,3.995,2.644,349.1,1311.83,2394.18,8.8
1050.91,3.986,2.735,283.12,1293.61,2346.22,7.9
1426.06,4.148,2.921,563.67,1818.8,2898.61,145.6
1341.31,4.15,2.878,539.21,1775.29,2872.51,119.9
1264.54,4.083,2.81,438.67,1590.35,2598.55,81.1
1073.37,4.024,2.664,312.2,1353.85,2434.27,17.5
1216.71,4.072,2.773,433.67,1602.84,2636.1,84.1
1223.1,4.077,2.847,428.32,1611.89,2626.11,81.0
1086.82,4.023,2.723,330.01,1432.48,2446.83,30.3
1208.39,4.079,2.708,437.34,1581.58,2626.73,74.3
1252.88,4.09,2.771,404.2,1519.14,2614.73,68.3
1304.42,4.111,2.843,504.75,1683.9,2730.84,105.1
1253.96,4.139,2.857,494.26,1743.73,2777.3,108.3
1021.57,4.008,2.637,293.76,1331.76,2359.98,8.7
1130.34,4.067,2.773,384.38,1508.66,2552.21,64.3
1291.95,4.103,2.822,523.64,1715.34,2694.28,106.8
1189.86,4.111,2.816,445.41,1653.78,2686.17,86.0
1398.94,4.152,2.959,586.04,1940.9,2913.6,145.7
1278.81,4.128,2.871,532.21,1745.76,2739.8,112.3
1093.92,4.024,2.764,337.59,1382.15,2375.91,28.5
1045.52,4.002,2.768,311.95,1314.88,2347.8,12.9
1316.14,4.118,2.819,498.82,1732.72,2677.03,109.6
1024.89,3.98,2.681,279.94,1338.4,2381.1,5.5
1245.25,4.081,2.857,494.29,1691.09,2712.38,100.0
1479.43,4.216,2.995,601.65,1968.61,2969.4,159.9
1323.05,4.102,2.749,457.48,1636.56,2693.61,98.3
1195.18,4.07,2.771,392.7,1592.23,2654.12,66.6
1298.35,4.123,2.89,502.03,1769.17,2783.88,109.7
1182.27,4.109,2.754,428.72,1585.45,2615.69,78.4
1237.55,4.144,2.828,432.95,1654.3,2675.87,93.2
1478.6,4.191,2.943,658.2,1989.95,2934.72,160.1
1210.81,4.069,2.803,415.04,1631.29,2575.98,66.3
1484.76,4.169,3.026,624.96,1919.29,2988.68,163.4
1467.35,4.151,2.956,613.89,1911.39,2948.87,154.0
1116.16,3.997,2.717,348.13,1398.68,2443.68,34.1
1057.67,3.99,2.657,298.74,1356.39,2428.45,12.7
1041.58,3.97,2.739,318.71,1356.8,2310.88,18.0
1028.5,4.017,2.667,295.32,1275.89,2313.14,4.1
1034.19,4.019,2.722,327.32,1299.44,2414.62,17.0
1329.7,4.129,2.839,515.01,1788.85,2839.17,116.4
1054.03,4.028,2.768,309.04,1320.37,2379.52,13.0
1195.1,4.036,2.806,377.82,1460.96,2596.72,54.9
1381.71,4.151,3.0,574.55,1859.95,2961.88,143.8
1038.23,3.957,2.758,279.1,1281.84,2325.68,4.9
1435.17,4.177,2.903,556.01,1848.29,2838.88,138.6
1155.37,4.034,2.724,361.78,1438.47,2477.43,48.6
1086.15,4.016,2.773,314.38,1326.89,2345.76,21.0
1351.02,4.157,2.868,534.56,1839.82,2743.07,118.7
1334.2,4.15,2.873,486.98,1728.36,2708.19,107.3
1404.93,4.174,2.937,590.17,1892.98,2869.12,149.3
1321.56,4.152,2.869,530.62,1808.74,2859.37,125.2
1392.11,4.141,2.942,562.71,1853.78,2847.23,136.8
1082.45,4.084,2.691,394.28,1442.74,2456.55,48.7
1121.31,4.025,2.749,330.08,1340.52,2426.69,31.0
1394.86,4.15,2.91,549.81,1793.14,2838.97,127.9
1383.23,4.152,2.903,570.09,1846.03,2856.94,137.4
1485.39,4.222,3.06,646.58,1989.32,2984.78,168.4
1194.56,4.081,2.789,398.46,1506.81,2526.61,70.7
1178.75,4.084,2.78,406.67,1607.38,2608.84,63.9
1381.09,4.16,2.925,523.19,1900.58,2832.51,132.2
1177.04,4.058,2.74,372.93,1524.34,2499.45,58.6
1457.03,4.204,3.072,610.53,1947.06,2948.08,158.3
1445.35,4.177,2.938,583.52,1873.8,2882.86,146.1
1215.23,4.062,2.784,419.84,1590.77,2615.69,73.5
1349.3,4.128,2.952,562.36,1805.75,2931.36,127.9
1399.78,4.152,2.841,552.46,1849.59,2801.72,128.5
1025.07,4.031,2.767,316.02,1375.17,2422.65,18.4
1443.52,4.212,2.974,601.11,1899.05,2919.86,153.5
1264.74,4.061,2.794,441.08,1607.54,2646.67,86.4
1386.48,4.164,2.894,556.15,1895.49,2931.04,140.7
1161.36,4.068,2.721,349.69,1517.28,2544.82,55.1
1455.55,4.184,2.956,583.93,1885.77,2992.65,152.3
1163.91,4.093,2.786,422.27,1531.41,2581.94,66.8
1019.37,4.007,2.708,276.51,1281.78,2386.35,2.8
1443.46,4.161,2.981,599.53,1925.64,2921.54,154.0
1040.29,3.99,2.691,325.35,1337.65,2357.57,16.4
1210.83,4.064,2.8,341.43,1522.91,2554.56,55.0
1452.97,4.209,3.088,618.51,1965.59,2970.36,161.6
1497.47,4.193,3.053,611.08,1964.06,2912.49,161.7
1264.16,4.079,2.82,475.76,1655.02,2716.38,97.9
1276.04,4.102,2.865,502.15,1725.63,2717.59,107.8
1215.87,4.099,2.81,434.06,1586.45,2656.57,76.8
1157.72,4.045,2.801,395.08,1463.32,2493.01,50.6
1180.55,4.062,2.752,392.48,1467.96,2528.77,56.5
1362.95,4.153,2.835,513.53,1789.03,2734.72,114.7
1438.89,4.124,2.929,578.62,1863.78,2870.34,128.2
1392.21,4.148,2.924,526.5,1847.29,2874.05,134.8
1368.33,4.146,2.877,590.61,1881.51,2946.66,134.4
1065.38,4.017,2.728,336.14,1346.64,2435.33,16.4
1228.67,4.11,2.862,439.78,1578.74,2637.28,84.6
1063.31,3.974,2.678,289.71,1326.32,2300.59,10.7
1229.75,4.106,2.796,452.48,1650.1,2667.11,93.9
1269.22,4.101,2.792,418.68,1596.64,2612.94,75.6
1459.1,4.139,2.982,617.58,1960.29,2850.7,151.0
1125.62,4.063,2.765,354.64,1502.9,2524.29,60.3
1047.14,3.991,2.746,347.74,1368.74,2442.72,20.8
1096.22,4.008,2.726,325.31,1400.44,2384.96,25.2
1399.47,4.1,2.929,563.54,1857.89,2801.44,129.7
1264.54,4.148,2.823,470.06,1740.14,2759.54,105.5
1076.01,4.005,2.672,323.76,1312.95,2369.83,18.1
1002.42,3.993,2.695,313.75,1301.52,2380.7,15.2
1336.28,4.144,2.834,529.63,1794.84,2810.79,119.5
1074.21,3.986,2.715,294.29,1315.89,2347.96,13.3
1388.3,4.14,2.865,565.47,1833.39,2908.53,139.9
1303.56,4.169,2.863,504.77,1811.48,2826.33,120.4
1053.62,4.044,2.696,318.61,1322.07,2391.39,14.7
1036.29,3.997,2.674,328.3,1384.41,2441.15,15.3
1508.22,4.219,3.043,648.12,1976.38,3025.97,167.7
1156.36,4.076,2.774,359.39,1512.16,2563.07,64.3
1157.5,4.04,2.811,418.69,1530.07,2541.03,63.6
1346.72,4.142,2.89,569.15,1878.77,2877.66,138.4
1474.73,4.22,3.016,586.22,1967.83,2960.92,161.1
1488.1,4.169,3.068,618.04,2045.85,2988.01,167.6
